C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-1.774024959922862,-31.6123939553928,-19.903256518422523,-30.292322578173568,-2.903298695676026,-23.599161763340373,-16.462858181113248,0.0,-26.327697744270175,-44.052899898140474,-25.567090034721083,-27.769994122099337,0.0
-3.1541106382266753,-28.119211287017826,-18.32561682474948,-28.190179372871423,-3.332443310012556,-23.16309300332103,-14.552187964765464,0.0,-31.53442833278879,-35.919363527855346,-28.633287579303392,-18.852823902320562,0.0
-4.528577167678494,-30.433224520106666,-19.972645829038928,-15.658993891355905,-3.904769899847049,-18.991574658274676,-13.764322675749913,0.0,-19.187784868336728,-26.84494408754666,-17.5537862837541,-13.73780916610845,0.0
-3.0492279807997673,-24.74634140088846,-18.719708046364246,-13.088382589008514,-2.081042827429874,-19.705693241673657,-13.149751113030511,0.0,-19.541619907800232,-25.158576251976918,-15.925684605813595,-12.649885730435972,0.0
0.0,-30.053766157570934,-18.624785497226807,-28.8749501123296,-2.1956181047328944,-32.55144188378256,-15.662478426819998,-0.5370243965301833,-24.148408989645134,-36.89447954679297,-24.486345896217415,-26.14426319114579,0.0
-3.8970142703079897,-19.599230190884942,-22.094077169676027,-45.15580617070817,-6.598829810697015,-36.0281204765177,-15.138577466633862,0.0,-42.82438708097075,-34.26757345856427,-34.82180007924026,-16.55586477598475,0.0
-4.264467765473616,-35.28785590243296,-21.77076803752866,-28.972412289024376,-4.608479560434499,-20.44096016800406,-17.276573118086304,0.0,-25.14050491062215,-34.93789853387047,-31.36381605068369,-26.7420964610313,0.0
-8.212143114518328,-31.533766188143826,-26.346856010274987,-37.89648719460162,-11.469054837069216,-36.84489668737606,-15.76431378843354,0.0,-26.21881158275709,-34.68104547737618,-37.35687088601487,-27.674872392099594,0.0
-5.6442256789395095,-20.1367967003035,-24.741179128101564,-21.99747700427767,-5.099140089550886,-38.56459443814498,-14.38158226440188,0.0,-27.52645224631111,-37.59874278612641,-31.660526907412287,-21.726879936030787,0.0
-0.09201031384312157,-31.62465580508058,-14.344414305874,-26.132908647269907,0.0,-19.982119599445355,-11.41339136987295,-2.0614320951999905,-17.282431306541117,-31.74498465360065,-22.404713230699972,-7.450107837877785,0.0
-4.249060667117759,-34.8338093255226,-19.94454189704902,-36.540943707045066,-4.636011743097897,-23.96477133034523,-15.367480481469686,0.0,-32.32551650904612,-38.68781606663615,-30.024369172975945,-11.726348390671538,0.0
-3.0107482970079706,-31.209214287807722,-22.395536494663425,-24.856488824303405,-6.812859816214736,-22.997715227809856,-16.25278345971797,0.0,-29.24448747614629,-36.81308824006066,-35.49006042028981,-16.03783384874837,0.0
-6.762423482149051,-32.53764780967097,-12.215772070929825,-27.278287528529198,-1.0243846076039436,-20.284359005923474,-12.559010882342916,0.0,-19.373123623989997,-30.747661763828024,-33.65135827824836,-8.67994979505005,0.0
0.0,-34.43399322118964,-18.083628844815703,-38.33058255179947,-4.073854994272893,-22.25417539562776,-15.021135869273719,-0.4989129236594636,-30.966055319889815,-33.21103590067643,-26.74894895150478,-18.68687946048871,0.0
0.0,-32.196403993088076,-14.068552782862731,-27.224846510208845,-1.193436799001959,-23.03340661638357,-13.88830786370134,-1.3065111926750792,-17.100977831837728,-29.084904792973614,-27.235840776004423,-8.870137691583643,0.0
-0.48749695520290115,-28.655036260814136,-17.801426730222687,-24.27165940254038,0.0,-22.754572228332,-14.663962613411044,-0.5246757815742947,-30.72785664624563,-35.28770245062443,-28.89124464686045,-16.639483838760075,0.0
0.0,-27.98566349363258,-13.776674226016885,-18.90031478532608,-1.905733620517024,-20.17507257580956,-15.371947661770854,-1.9547732496411487,-24.461797208096648,-32.01837506324587,-19.309835438001596,-15.503435373639224,0.0
-2.0654845683909837,-31.164048435230406,-20.90514255094318,-33.633861440793794,-12.607795375836703,-24.967396317138977,-15.487174202292728,0.0,-32.70384830502275,-38.61644855331873,-21.579387962931243,-22.089323127651245,0.0
-2.0222341164506203,-39.21431323372553,-26.98238002628792,-45.09172210155168,-6.270477295298069,-24.179858867635524,-16.771453941696215,0.0,-34.2595914706635,-35.86110421773659,-38.975031249215945,-14.696324734690604,0.0
0.0,-28.959437064249364,-13.346161499086573,-30.71474075686769,-3.4147451545622487,-21.66250380446977,-18.87067007684432,-4.153147316383096,-29.11288620522909,-34.30913450438722,-1.6300481974033134,-11.985940928005771,0.0
0.0,-30.234328434649672,-19.69696625611345,-28.916378852645916,-8.154986876695746,-27.046781048136626,-17.326342721703007,-3.054624171753171,-34.4387773385504,-37.18704643796272,-21.340359807249804,-18.047402370518235,0.0
-3.997312377575501,-33.575430848142126,-21.56523672108492,-33.22378555974584,-15.101861079984666,-36.85808314318463,-18.836866623291527,0.0,-30.259657082871797,-34.13395276879108,-27.03429900672889,-7.949604845954758,0.0
-1.5854811602957466,-35.26185354917849,-18.56010153235691,-28.917710060396608,-4.534004553887115,-28.087619155167687,-15.708733404818137,0.0,-33.33014089673861,-34.346453375909036,-32.43227368186994,-16.400124010003058,0.0
-7.445919895980389,-30.109996394298296,-13.411603644750013,-19.224204209961325,0.0,-13.095752530273124,-5.6479100417190375,-0.01539146456429351,-27.352342000527507,-29.294084115745306,-30.465603489116376,-10.65913769921244,0.0
-1.0012824008177463,-22.323697734993935,-26.82510650413419,-35.41665504461034,0.0,-43.66753019033105,-17.048975230495998,-1.006056577661624,-15.99816438206265,-37.28103187986372,-26.953425708966726,-14.439290617061388,0.0
-0.4453170440596468,-25.884125161517385,-20.064466632999277,-27.502031514447502,0.0,-22.48503080066876,-26.918566906361555,-4.681492710743878,-17.257768212439615,-22.346848152680995,-24.198039925938076,-14.389691279439171,0.0
0.0,-32.45314126754818,-21.523366883755028,-42.03770949552109,-0.7333003428046396,-24.10960748267889,-28.47028823540473,-6.378854989086925,-17.790682199721438,-28.324547131257006,-13.967411834985096,-14.799079374949915,0.0
0.0,-32.39526829107999,-24.78118383100699,-30.76210234339237,-1.295022936046705,-24.10877133392205,-37.227278164554846,-3.880188433599154,-24.81310257871192,-17.84880839857668,-31.74280907206623,-13.13782902546137,0.0
0.0,-28.99894725011812,-15.037396841722899,-26.68957799487997,-2.4632403760666035,-16.38248774639269,-20.842804935818222,-3.8152265133940197,-9.422517046256782,-19.445930140299787,-6.1619577260589065,-5.206916643213624,0.0
0.0,-28.703514637391024,-20.336285563970012,-30.774017726170655,-3.587291054410886,-29.231742726155492,-23.105176488625062,-3.361986386035969,-17.76334035688542,-24.20565169571331,-27.634383309864674,-18.923126314318182,0.0
0.0,-35.56624697695861,-28.188770998035764,-37.548217248874295,-6.45147380869557,-31.590159511659795,-27.630551153911902,-8.091513826174424,-17.405838963488925,-27.33457365727732,-31.93765775738115,-25.209362279361322,0.0
-5.978202674768785,-36.805173536155316,-16.648751442177034,-33.654398914256795,0.0,-17.670375944984848,-23.997111779745556,-6.4321784090856,-17.14121153358492,-26.375049673803286,-33.336146024561906,-24.64965972890081,0.0
0.0,-31.094797766518248,-12.16735898791585,-31.20027188520797,-0.9787766701591173,-20.748006996547215,-23.709632498101605,-3.169686083757611,-13.297102175004316,-27.280538238619755,-17.101266026412187,-5.592661572421234,0.0
-0.37120556360220247,-24.88623930695926,-14.395552132374632,-27.47106871059525,0.0,-18.241839419511805,-19.732887760626127,-4.254349071301677,-13.369426833859912,-24.743313715045232,-23.75466921897731,-17.637772872578815,0.0
0.0,-20.618231858802094,-24.067193598250824,-31.06446542666881,-4.047716153600067,-23.88212487456396,-16.271317580084858,-1.826955309240186,-15.069805103791307,-21.51044136530392,-24.157788597121236,-19.853943607398847,0.0
0.0,-31.50979962280949,-12.758957529294058,-23.61876162606808,-1.1186174758133454,-19.33399512386316,-24.524343075397347,-1.288618579060412,-12.517606057158634,-24.09646356922686,-18.70057265202185,-10.30499735467711,0.0
0.0,-28.019941025461556,-18.491566920268113,-30.60942948503875,-3.3975415003563256,-23.076484117901245,-23.410278066239574,-7.062638904350676,-12.427892683880359,-28.105222472362897,-24.82434884276813,-6.009048823018242,0.0
0.0,-30.3531533346381,-26.562165336397477,-38.76565874371934,-3.396691362565364,-24.06159149122455,-25.825352521607982,-5.519213025893103,-26.63920727012392,-24.52539419317626,-31.084528991035036,-12.510122040527754,0.0
0.0,-31.08883445442229,-16.803154747489295,-32.98083261698727,-5.228473199237128,-25.959571846794688,-25.632602544755475,-5.4088232977056885,-18.458299535881785,-29.327927870137533,-23.154580288077838,-15.267479124867902,0.0
0.0,-33.744831663183355,-11.622961252918607,-39.80694378669101,-15.205776507655717,-26.555832801304234,-34.2794144086786,-6.5548829576410235,-17.65864100282631,-24.440713975439277,-18.475800963025492,-22.221790342761558,0.0
0.0,-29.33511719342221,-5.772696902028035,-28.53611420507404,-2.739091196154771,-16.30492199519212,-22.391928031749337,-1.4616250602412033,-11.858858521700462,-25.016347192957586,-13.247496867292814,-15.615671035234298,0.0
0.0,-30.68066954231049,-13.090870027855999,-35.31482122096767,-14.691740931105938,-25.94520896549673,-27.932001329250184,-10.692590384218573,-19.755009854082854,-26.306724198282225,-13.974232107565815,-22.184555219402327,0.0
-2.6397200682670308,-26.024458613979103,-9.316821266649818,-23.462336657457264,0.0,-18.060721909709066,-17.806009333302907,-10.919650248962853,-9.099590218187743,-25.732125536933918,-19.43518107593243,-11.58634955296965,0.0
0.0,-29.78635390119635,-11.59214801540603,-28.92754513234221,-6.249999489872438,-25.43966404398336,-22.943899451935227,-6.756636180177016,-10.914054227541339,-25.005334265888138,-20.621452962032542,-7.688431590937588,0.0
-2.005657469197456,-36.04364234155889,-24.116616080798828,-37.95965394980399,-2.219038137660367,-27.075633881451672,-26.621624900788206,0.0,-15.059256788693185,-28.2862764949162,-30.904002786380744,-13.821271780093248,0.0
-3.048920509597897,-30.16444508489766,-26.11177950398727,-21.49696292893416,-6.101035170429302,-21.352399365201293,-9.032559721694593,0.0,-11.312208830133613,-20.232544316687854,-23.480289427733698,-18.237495157119422,0.0
0.0,-34.60127253915993,-16.614676561563357,-36.10532865056497,-6.046689299270236,-32.633072603833476,-34.86930300857836,-6.3605283734136355,-38.55630964818981,-28.801769720642987,-29.092590505131056,-26.84667360723342,0.0
-0.29485406769085865,-34.97488624371936,-19.639042654143864,-35.687515752689265,0.0,-30.053053859150083,-28.02029053708392,-0.12337472146346723,-19.769771749510074,-26.033397475189695,-30.096795379281623,-18.343128116143006,0.0
0.0,-31.027930766165113,-9.443355120591129,-29.671803704817425,-3.589035719321199,-21.897238207201305,-20.71260870202078,-4.410360670335954,-14.515800077311894,-23.63027997871378,-25.838927312395153,-8.122362167929161,0.0
0.0,-31.805796641683337,-16.696717633735382,-36.01442997119632,-21.207677850489546,-25.414893922004786,-36.02348819938699,-10.668108074821083,-22.52327110162379,-28.837407928322595,-25.259526295919542,-23.311065076013335,0.0
0.0,-29.44598967232988,-21.134212085381748,-27.633848045462628,-0.8584068541859189,-18.870728635010362,-18.88956616584125,-1.818493309303033,-23.56035099028469,-33.98263672190776,-31.23266520801782,-15.551099703200377,0.0
0.0,-33.65843255828088,-21.215212636119936,-30.969905042648445,-4.849218177244349,-29.144387273750034,-20.716375563572775,-2.5654227908653167,-27.24786690944928,-7.989984269705159,-25.76879046169262,-12.868596190283053,0.0
0.0,-30.02094263149094,-15.417194357816442,-17.69722204005823,-0.8799779028622257,-18.473684174400177,-18.647923799366026,-2.011095217987673,-8.783064211032075,-24.28422620654553,-24.233997391745955,-5.253311156335433,0.0
-1.7385620500661403,-34.64272498497558,-23.42174423187472,-40.42173703879748,-1.551709262759458,-42.018767196029174,-34.28584596932436,0.0,-26.28946070990457,-15.174749536222281,-23.988363682041726,-17.913145869632817,0.0
0.0,-28.984695514391596,-17.52773420724083,-25.72658818424126,-1.8486010099054888,-18.687198020758057,-28.82810464111762,-0.5286372338159883,-21.834836383498654,-31.681207826323764,-28.084278939681102,-6.846162989513854,0.0
0.0,-27.637057595870573,-14.751945288831113,-25.461113758299753,-0.4049057550742319,-18.224111952300063,-17.752477517387067,-5.324584532684241,-17.28818560349727,-22.68514898050516,-22.02725433963129,-6.617427170985434,0.0
-0.35946243843784975,-31.733118620481086,-15.047167700949924,-31.782331510170707,-0.9351325555971085,-29.07832962022173,-19.46061859936194,0.0,-25.015489160336845,-34.92236101654222,-24.25046671459977,-18.673054703810724,0.0
